13.6667,9.75697,9.33495,9.01636,9.52364,6.44889,5.98707,5.57798,5.89152,5.46949,4.23919,4.74747,4.45273,4.54101,4.07192,4.09253,4.01616,3.86404,3.87475,3.76081,3.80202,
7.07576,5.98303,4.88727,5.14121,4.60242,4.5501,3.43919,3.54384,3.28081,3.12263,3.11778,3.05596,3.02,2.91495,2.88667,2.9404,2.91071,2.90263,2.92121,2.9103,2.80626,
4.9,4.05717,3.78545,2.97677,3.40162,3.10707,3.0004,2.74444,2.74061,2.78869,2.68182,2.64465,2.69212,2.58566,2.65455,2.5804,2.5604,2.5402,2.55293,2.56061,2.5396,
3.76768,3.12909,2.94222,3.21697,2.87192,2.50606,2.48444,2.50606,2.53455,2.42404,2.46768,2.47091,2.31091,2.23394,2.08121,2.28929,2.38646,2.08505,2.19919,2.23636,2.05051,
3.10101,2.48364,2.41535,2.30242,2.38343,2.36929,2.31495,2.14141,2.1996,2.10626,2.23232,2.06848,2.12869,2.04424,2.08364,2.20707,2.11293,2.12626,2.14141,2.02061,1.99131,
2.70909,2.55939,2.50949,2.65758,2.55717,2.11495,2.38263,2.19333,2.1604,2.19333,2.06364,2.03717,2.14586,2.07636,2.14545,2.09576,2.08667,2.1299,2.11838,2.1196,2.1299,
2.37071,2.33596,2.15939,2.36869,2.06869,2.00525,2.15495,2.13273,2.10828,2.02121,2.0402,2.04444,1.97939,2.06768,1.99697,2.02485,2.03576,2.00465,2.01899,2.03091,2.05838,
2.1798,2.17394,2.04263,2.00222,2.14465,1.95232,1.99091,2.01414,1.96525,1.94263,1.94162,1.9301,1.90202,1.99657,1.96101,1.93556,1.97333,1.96,1.96788,1.95192,1.94566,
1.96364,1.88808,1.94081,1.85515,1.87737,1.84687,1.9004,1.9101,1.85535,1.85354,1.87091,1.86747,1.80424,1.9004,1.85576,1.86424,1.86768,1.91778,1.90364,1.90081,1.88646,
1.74242,1.74505,1.76081,1.75556,1.76121,1.78061,1.78283,1.77879,1.78424,1.81657,1.79354,1.80182,1.82485,1.82424,1.84283,1.82444,1.84182,1.84525,1.86747,1.85879,1.86424,
1.68889,1.69737,1.7002,1.72687,1.71697,1.72323,1.74283,1.74182,1.74606,1.76384,1.77455,1.77131,1.78586,1.78283,1.79818,1.78909,1.81172,1.84303,1.83636,1.84626,1.84949,
1.6303,1.63939,1.65273,1.65172,1.67313,1.67475,1.67939,1.69071,1.71192,1.72202,1.7299,1.73798,1.73778,1.7497,1.77576,1.77495,1.78283,1.7901,1.80141,1.82121,1.8299,
1.56667,1.57717,1.58626,1.60101,1.62424,1.62929,1.63838,1.64808,1.64505,1.66566,1.69051,1.69798,1.71253,1.71535,1.73131,1.74323,1.76081,1.77879,1.79293,1.80242,1.79939,
1.49798,1.51192,1.52525,1.53899,1.54566,1.56707,1.58121,1.59778,1.60869,1.62141,1.63657,1.64889,1.6703,1.67152,1.67192,1.71354,1.73192,1.7404,1.7099,1.76909,1.78101,
1.42424,1.44,1.45192,1.47657,1.48727,1.50283,1.5303,1.53495,1.56222,1.53071,1.61758,1.60343,1.63414,1.63253,1.66788,1.67051,1.64566,1.71131,1.73414,1.74061,1.76404,
1.34545,1.36242,1.37859,1.35394,1.44646,1.44505,1.46929,1.47838,1.46949,1.50949,1.54222,1.5497,1.58323,1.57313,1.62869,1.64869,1.64202,1.66242,1.69717,1.71515,1.63515,
1.26162,1.28242,1.30061,1.30545,1.36747,1.36768,1.3998,1.41071,1.43293,1.44768,1.47152,1.4796,1.56061,1.55071,1.55737,1.59919,1.6202,1.62303,1.65616,1.67293,1.71859,
1.17273,1.19859,1.21737,1.24727,1.25657,1.22242,1.32869,1.3501,1.35535,1.40606,1.43212,1.45697,1.47374,1.50061,1.52505,1.54929,1.57818,1.61051,1.63232,1.65919,1.69111,
1.07879,1.10525,1.12667,1.1703,1.18545,1.21616,1.24848,1.27657,1.30343,1.30949,1.3703,1.40323,1.42869,1.46263,1.48323,1.51212,1.54667,1.57091,1.59495,1.64081,1.6703,
1,1.02828,1.05697,1.09818,1.12,1.1499,1.19313,1.19717,1.23798,1.27879,1.31273,1.34768,1.37455,1.4097,1.4404,1.42768,1.51434,1.53051,1.57515,1.59778,1.63333,
